pedido_id,id_cliente,id_produto,data_pedido,id_vendedor,quantidade,valor_frete,total_pedido,municipio,estado,regiao
28,106,SKU-111,2026-04-20,9,2,6.84,4741.14,Guarulhos,SP,Sudeste
29,137,SKU-106,2025-04-24,7,3,9.22,1429.95,Maringa,PR,Sul
30,898,SKU-122,2025-03-08,4,4,15.44,1802.6,Passo Fundo,RS,Sul
31,723,SKU-071,2026-05-04,8,4,13.09,6479.24,Maracanau,CE,Nordeste
32,1233,SKU-005,2025-08-29,11,4,16.54,4200.24,Autazes,AM,Norte
33,1312,SKU-029,2025-10-02,14,3,20.66,2336.7,Duque de Caxias,RJ,Sudeste
34,663,SKU-205,2025-11-14,4,4,5.61,1576.72,Ceilandia,DF,Centro-Oeste
35,1217,SKU-065,2025-09-08,3,2,23.83,5450.6,Manaus,AM,Norte
36,1381,SKU-084,2026-03-06,2,3,5.04,4405.5,Pelotas,RS,Sul
37,816,SKU-185,2026-03-12,4,3,25.88,1508.4,Sao Jose dos Pinhais,PR,Sul
38,607,SKU-172,2026-01-01,15,1,16.4,1793.74,Samambaia,DF,Centro-Oeste
39,101,SKU-012,2025-12-11,6,3,19.14,7542.93,Bento Goncalves,RS,Sul
40,379,SKU-111,2025-01-17,7,1,8.1,2370.57,Contagem,MG,Sudeste
41,1133,SKU-053,2026-04-24,11,4,21.05,8990.12,Niteroi,RJ,Sudeste
42,1471,SKU-141,2026-03-28,6,2,11.62,4840.74,Canoas,RS,Sul
43,19,SKU-066,2025-01-12,15,4,8.61,10477.84,Sao Jose dos Pinhais,PR,Sul
44,318,SKU-054,2025-04-06,2,3,32.71,7111.86,Ceilandia,DF,Centro-Oeste
45,982,SKU-203,2025-09-04,3,1,19.28,473.5,Colombo,PR,Sul
46,661,SKU-179,2025-01-07,15,4,29.51,3000.84,Novo Hamburgo,RS,Sul
47,177,SKU-023,2026-05-31,7,2,32.74,2287.0,Curitiba,PR,Sul
48,740,SKU-240,2026-01-01,12,4,21.69,1466.84,Belo Horizonte,MG,Sudeste
49,20,SKU-161,2025-01-22,12,3,10.78,6527.85,Contagem,MG,Sudeste
50,6,SKU-046,2025-07-20,1,2,10.93,2873.52,Paranagua,PR,Sul
51,670,SKU-058,2025-05-18,11,1,8.54,1181.94,Gravatai,RS,Sul
52,869,SKU-195,2025-11-03,8,4,9.62,891.52,Petropolis,RJ,Sudeste
53,228,SKU-044,2026-01-19,2,1,20.99,1503.55,Jaboatao dos Guararapes,PE,Nordeste
54,887,SKU-055,2025-03-16,12,2,17.45,3211.28,Caruaru,PE,Nordeste
55,999,SKU-069,2025-12-04,11,4,9.72,7739.84,Sobradinho,DF,Centro-Oeste
56,497,SKU-245,2026-04-05,6,4,10.16,11894.44,Sobral,CE,Nordeste
57,113,SKU-055,2025-01-21,8,2,17.17,3211.28,Gravata,PE,Nordeste
58,1294,SKU-224,2025-04-29,14,2,32.02,5018.72,Bento Goncalves,RS,Sul
59,25,SKU-123,2026-02-09,15,2,6.58,2492.22,Pocos de Caldas,MG,Sudeste
60,91,SKU-033,2025-09-04,15,1,20.25,2592.27,Sobradinho,DF,Centro-Oeste
61,13,SKU-138,2025-03-27,5,3,20.75,4247.58,Duque de Caxias,RJ,Sudeste
62,178,SKU-035,2025-07-02,13,1,17.83,2777.19,Pelotas,RS,Sul
63,946,SKU-179,2025-04-02,12,2,23.75,1500.42,Campos dos Goytacazes,RJ,Sudeste
64,616,SKU-021,2025-11-26,1,4,9.94,5496.88,Foz do Iguacu,PR,Sul
65,4,SKU-003,2025-01-28,6,1,30.89,2885.32,Campinas,SP,Sudeste
66,49,SKU-191,2025-03-25,8,1,25.64,326.91,Caucaia,CE,Nordeste
67,931,SKU-138,2026-01-16,12,1,28.62,1415.86,Brasilia,DF,Centro-Oeste
68,41,SKU-091,2025-11-17,13,4,25.17,3840.12,Coari,AM,Norte
69,140,SKU-041,2025-03-29,8,2,23.01,4117.22,Sobradinho,DF,Centro-Oeste
70,136,SKU-134,2025-03-20,10,2,10.27,1519.98,Colombo,PR,Sul
71,942,SKU-081,2026-01-24,1,4,6.21,6298.92,Igarassu,PE,Nordeste
72,6,SKU-013,2025-01-03,11,3,31.57,5942.91,Paulista,PE,Nordeste
73,188,SKU-093,2025-10-09,4,2,17.16,698.32,Ceilandia,DF,Centro-Oeste
74,270,SKU-205,2025-10-03,6,2,34.72,788.36,Salvador,BA,Nordeste
75,157,SKU-044,2026-01-20,1,1,21.58,1503.55,Guarulhos,SP,Sudeste
76,262,SKU-062,2026-02-25,13,4,23.54,9956.36,Piracicaba,SP,Sudeste
77,621,SKU-241,2025-07-09,15,2,6.94,785.26,Curitiba,PR,Sul
78,29,SKU-101,2025-09-16,5,1,31.71,314.18,Manaus,AM,Norte
79,601,SKU-067,2025-07-01,4,4,19.95,9304.4,Bento Goncalves,RS,Sul
80,228,SKU-196,2025-07-12,11,1,16.99,2334.94,Pelotas,RS,Sul
81,10,SKU-179,2026-02-14,11,3,26.78,2250.63,Presidente Figueiredo,AM,Norte
82,685,SKU-188,2025-11-11,15,4,13.93,144.8,Sao Jose dos Campos,SP,Sudeste
83,278,SKU-184,2025-05-14,4,3,26.67,7658.61,Tefe,AM,Norte
84,22,SKU-246,2025-09-15,5,1,18.86,2564.91,Sao Bernardo do Campo,SP,Sudeste
85,1344,SKU-162,2026-02-04,14,2,15.64,3724.24,Ilheus,BA,Nordeste
86,1151,SKU-048,2026-02-17,9,2,26.63,2443.88,Juazeiro,BA,Nordeste
87,713,SKU-076,2025-07-16,5,1,25.06,2724.44,Iguatu,CE,Nordeste
88,268,SKU-072,2025-10-25,4,1,28.16,1478.73,Volta Redonda,RJ,Sudeste
89,478,SKU-129,2025-07-02,10,3,14.95,1684.2,Ipatinga,MG,Sudeste
90,1046,SKU-016,2025-12-15,4,1,13.69,31.77,Ribeirao Preto,SP,Sudeste
91,72,SKU-056,2025-08-02,10,3,10.83,8293.71,Coari,AM,Norte
92,161,SKU-182,2025-05-06,2,4,26.85,11258.6,Uberlandia,MG,Sudeste
93,19,SKU-154,2026-04-11,1,4,26.64,11906.16,Cabo Frio,RJ,Sudeste
94,565,SKU-051,2025-09-04,4,1,23.93,228.45,Passo Fundo,RS,Sul
95,34,SKU-165,2025-11-27,12,2,6.18,3309.52,Recife,PE,Nordeste
96,13,SKU-022,2026-06-02,2,4,27.75,4907.64,Porto Seguro,BA,Nordeste
97,334,SKU-129,2026-02-21,14,1,5.32,561.4,Contagem,MG,Sudeste
98,3,SKU-208,2025-01-31,9,1,15.04,2563.61,Jaboatao dos Guararapes,PE,Nordeste
99,31,SKU-153,2025-01-14,11,2,25.65,2153.74,Teixeira de Freitas,BA,Nordeste
100,753,SKU-068,2025-10-18,15,1,33.81,1698.21,Recife,PE,Nordeste
101,592,SKU-055,2026-02-06,15,3,23.29,4816.92,Vitoria da Conquista,BA,Nordeste
102,9,SKU-080,2025-03-14,2,1,31.13,1642.04,Planaltina,DF,Centro-Oeste
103,450,SKU-058,2025-08-25,10,4,20.9,4727.76,Salvador,BA,Nordeste
104,36,SKU-105,2025-07-19,10,2,29.45,656.18,Contagem,MG,Sudeste
105,557,SKU-038,2025-03-17,7,2,18.54,711.46,Juazeiro,BA,Nordeste
106,13,SKU-066,2025-02-07,12,3,8.9,7858.38,Tefe,AM,Norte
107,6,SKU-094,2025-01-22,7,3,12.13,6208.71,Garanhuns,PE,Nordeste
108,1403,SKU-191,2025-02-17,13,1,8.5,326.91,Governador Valadares,MG,Sudeste
109,1083,SKU-241,2025-02-13,15,2,31.24,785.26,Osasco,SP,Sudeste
110,71,SKU-100,2026-02-12,3,1,29.55,2229.15,Sao Bernardo do Campo,SP,Sudeste
111,716,SKU-019,2025-11-25,5,2,8.0,1194.58,Contagem,MG,Sudeste
112,1214,SKU-092,2025-02-23,10,4,20.27,9639.44,Governador Valadares,MG,Sudeste
113,24,SKU-161,2026-05-12,4,4,27.89,8703.8,Uberaba,MG,Sudeste
114,1454,SKU-213,2025-09-28,4,3,27.49,4428.24,Campinas,SP,Sudeste
115,151,SKU-142,2025-01-06,4,4,28.41,3665.48,Ilheus,BA,Nordeste
116,356,SKU-171,2025-05-20,10,4,6.38,8019.52,Gravatai,RS,Sul
117,798,SKU-014,2025-04-15,14,3,18.55,3725.28,Piracicaba,SP,Sudeste
118,6,SKU-095,2025-03-08,12,3,13.57,1082.85,Belo Horizonte,MG,Sudeste
119,1487,SKU-066,2025-06-19,11,4,27.69,10477.84,Recanto das Emas,DF,Centro-Oeste
120,280,SKU-160,2026-01-20,12,3,29.91,8402.55,Recanto das Emas,DF,Centro-Oeste
121,810,SKU-174,2026-04-13,9,1,31.67,2919.1,Maringa,PR,Sul
122,931,SKU-149,2026-01-29,5,2,9.41,5760.14,Ceilandia,DF,Centro-Oeste
123,2,SKU-129,2025-11-14,3,2,33.6,1122.8,Caxias do Sul,RS,Sul
124,1064,SKU-207,2025-08-17,10,3,28.42,3571.98,Garanhuns,PE,Nordeste
125,484,SKU-241,2025-02-26,8,4,23.67,1570.52,Osasco,SP,Sudeste
126,44,SKU-164,2025-05-01,3,4,27.91,2420.72,Guarulhos,SP,Sudeste
127,853,SKU-080,2025-08-22,11,2,14.77,3284.08,Gama,DF,Centro-Oeste
128,100,SKU-244,2025-05-22,15,1,30.08,512.01,Curitiba,PR,Sul
129,191,SKU-105,2025-05-01,7,2,32.07,656.18,Recanto das Emas,DF,Centro-Oeste
130,188,SKU-141,2025-05-31,11,4,22.72,9681.48,Camacari,BA,Nordeste
131,40,SKU-170,2025-09-30,7,1,28.51,1688.95,Serra Talhada,PE,Nordeste
132,191,SKU-162,2025-03-16,2,2,5.45,3724.24,Iguatu,CE,Nordeste
133,690,SKU-176,2025-05-30,6,2,29.22,4713.86,Lauro de Freitas,BA,Nordeste
134,1444,SKU-193,2025-05-04,9,3,30.3,7433.55,Guarapuava,PR,Sul
135,41,SKU-151,2025-11-15,14,3,23.78,7860.54,Sao Paulo,SP,Sudeste
136,1383,SKU-123,2025-08-18,10,1,5.2,1246.11,Tefe,AM,Norte
137,243,SKU-227,2026-02-03,9,1,34.95,1364.27,Campos dos Goytacazes,RJ,Sudeste
138,71,SKU-021,2025-07-17,2,3,29.71,4122.66,Sao Paulo,SP,Sudeste
139,225,SKU-015,2025-10-13,14,1,13.79,1942.39,Ceilandia,DF,Centro-Oeste
140,828,SKU-014,2026-04-10,14,4,28.21,4967.04,Manacapuru,AM,Norte
141,523,SKU-114,2026-02-26,11,2,6.51,4203.64,Itabuna,BA,Nordeste
142,129,SKU-005,2026-05-23,3,4,18.28,4200.24,Guarapuava,PR,Sul
143,9,SKU-242,2026-04-05,10,2,26.78,4746.66,Olinda,PE,Nordeste
144,35,SKU-005,2025-04-05,15,4,26.75,4200.24,Iguatu,CE,Nordeste
145,6,SKU-042,2025-03-10,5,3,5.68,6333.96,Autazes,AM,Norte
146,11,SKU-050,2025-07-23,15,2,18.62,3979.58,Petropolis,RJ,Sudeste
147,161,SKU-184,2025-06-25,8,2,15.34,5105.74,Jaboatao dos Guararapes,PE,Nordeste
148,459,SKU-021,2026-04-21,2,1,11.15,1374.22,Uberlandia,MG,Sudeste
149,559,SKU-001,2026-01-24,14,1,11.57,1223.28,Caruaru,PE,Nordeste
150,410,SKU-172,2025-11-22,6,2,19.03,3587.48,Presidente Figueiredo,AM,Norte
151,226,SKU-049,2025-08-12,5,4,7.23,406.4,Coari,AM,Norte
152,116,SKU-013,2025-06-22,9,3,6.43,5942.91,Petrolina,PE,Nordeste
153,6,SKU-210,2025-04-07,8,4,13.26,1698.88,Sao Jose dos Campos,SP,Sudeste
154,73,SKU-065,2025-04-15,15,4,19.11,10901.2,Petropolis,RJ,Sudeste
155,336,SKU-203,2026-05-27,14,2,32.46,947.0,Rio de Janeiro,RJ,Sudeste
156,47,SKU-024,2026-05-19,9,2,8.07,3711.94,Santa Maria,RS,Sul
157,1303,SKU-108,2025-06-25,8,3,27.04,7125.24,Itapipoca,CE,Nordeste
158,93,SKU-110,2025-08-26,9,2,31.3,918.42,Itacoatiara,AM,Norte
159,709,SKU-082,2026-02-23,12,1,15.15,763.67,Guara,DF,Centro-Oeste
160,3,SKU-202,2026-03-15,8,4,25.42,7101.68,Angra dos Reis,RJ,Sudeste
161,747,SKU-104,2026-05-24,14,2,32.01,5173.72,Itacoatiara,AM,Norte
162,951,SKU-094,2025-01-03,3,4,21.22,8278.28,Petropolis,RJ,Sudeste
163,85,SKU-090,2025-12-02,1,2,7.59,5891.28,Paulista,PE,Nordeste
164,916,SKU-139,2026-04-04,3,1,25.6,1828.39,Serra Talhada,PE,Nordeste
165,816,SKU-134,2025-06-28,10,1,34.45,759.99,Montes Claros,MG,Sudeste
166,251,SKU-117,2025-02-10,9,3,12.06,3192.72,Recanto das Emas,DF,Centro-Oeste
167,137,SKU-140,2025-01-17,13,2,8.81,1553.5,Sorocaba,SP,Sudeste
168,4,SKU-155,2025-08-24,9,4,34.25,413.24,Planaltina,DF,Centro-Oeste
169,1411,SKU-166,2025-05-14,9,3,31.47,8920.05,Lauro de Freitas,BA,Nordeste
170,474,SKU-017,2025-03-28,8,3,15.4,1376.22,Autazes,AM,Norte
171,1392,SKU-193,2025-02-06,15,4,7.75,9911.4,Contagem,MG,Sudeste
172,458,SKU-115,2026-02-04,15,4,10.88,6911.28,Belo Horizonte,MG,Sudeste
173,582,SKU-071,2026-01-25,8,1,33.91,1619.81,Angra dos Reis,RJ,Sudeste
174,573,SKU-127,2026-01-29,9,2,30.71,4650.64,Aguas Claras,DF,Centro-Oeste
175,385,SKU-217,2025-06-07,8,2,14.6,76.26,Samambaia,DF,Centro-Oeste
176,1483,SKU-010,2025-11-22,6,1,16.96,2805.48,Contagem,MG,Sudeste
177,7,SKU-069,2025-01-31,12,3,27.67,5804.88,Garanhuns,PE,Nordeste
178,589,SKU-176,2026-04-13,5,1,5.92,2356.93,Petropolis,RJ,Sudeste
179,1220,SKU-046,2025-12-17,7,3,13.05,4310.28,Pocos de Caldas,MG,Sudeste
180,333,SKU-101,2025-07-20,3,2,15.59,628.36,Planaltina,DF,Centro-Oeste
181,624,SKU-163,2025-05-17,9,3,28.69,2788.92,Canoas,RS,Sul
182,1386,SKU-237,2025-04-16,11,3,17.15,8981.16,Londrina,PR,Sul
183,707,SKU-084,2025-07-11,15,3,26.67,4405.5,Juazeiro do Norte,CE,Nordeste
184,1343,SKU-100,2025-06-21,14,2,17.11,4458.3,Samambaia,DF,Centro-Oeste
185,736,SKU-088,2026-01-14,9,1,11.71,2806.21,Parintins,AM,Norte
186,769,SKU-095,2026-01-10,5,1,33.55,360.95,Caninde,CE,Nordeste
187,1374,SKU-244,2025-11-29,14,1,23.3,512.01,Sobral,CE,Nordeste
188,114,SKU-002,2025-07-18,14,3,23.84,7344.78,Cabo Frio,RJ,Sudeste
189,513,SKU-238,2025-04-26,4,4,22.97,11795.84,Belo Horizonte,MG,Sudeste
190,422,SKU-181,2025-12-08,14,2,13.07,2627.08,Campinas,SP,Sudeste
191,212,SKU-101,2025-11-11,6,1,14.76,314.18,Caucaia,CE,Nordeste
192,1036,SKU-052,2025-04-20,15,2,26.87,3384.42,Lauro de Freitas,BA,Nordeste
193,79,SKU-108,2026-05-03,14,1,12.14,2375.08,Igarassu,PE,Nordeste
194,164,SKU-005,2025-09-30,13,2,25.91,2100.12,Duque de Caxias,RJ,Sudeste
195,952,SKU-010,2025-12-29,2,2,18.7,5610.96,Sobradinho,DF,Centro-Oeste
196,739,SKU-135,2026-04-30,1,1,23.15,1931.2,Ipatinga,MG,Sudeste
197,122,SKU-034,2025-08-29,9,3,17.07,4563.48,Montes Claros,MG,Sudeste
198,991,SKU-208,2026-03-15,9,4,6.75,10254.44,Lauro de Freitas,BA,Nordeste
199,273,SKU-194,2026-04-06,8,4,13.39,10061.76,Juiz de Fora,MG,Sudeste
200,760,SKU-131,2025-12-12,7,3,21.24,7336.56,Lauro de Freitas,BA,Nordeste
201,1398,SKU-204,2025-11-21,10,3,10.33,2940.75,Betim,MG,Sudeste
202,1249,SKU-248,2025-03-26,15,4,34.56,7498.36,Santos,SP,Sudeste
203,1094,SKU-226,2025-02-10,11,1,9.68,818.14,Foz do Iguacu,PR,Sul
204,89,SKU-166,2025-08-26,13,1,33.75,2973.35,Uberlandia,MG,Sudeste
205,172,SKU-082,2025-03-12,1,2,5.17,1527.34,Teixeira de Freitas,BA,Nordeste
206,423,SKU-163,2026-03-12,5,2,25.46,1859.28,Cascavel,PR,Sul
207,1094,SKU-135,2026-01-28,8,4,22.59,7724.8,Juazeiro do Norte,CE,Nordeste
208,1394,SKU-177,2025-08-16,11,4,18.47,11121.48,Sobral,CE,Nordeste
209,270,SKU-192,2025-01-07,15,2,15.99,61.26,Itacoatiara,AM,Norte
210,218,SKU-054,2025-03-13,13,2,29.16,4741.24,Pocos de Caldas,MG,Sudeste
211,1008,SKU-189,2025-05-17,10,2,30.09,2238.6,Contagem,MG,Sudeste
212,38,SKU-216,2025-01-08,12,3,23.72,3304.08,Sao Bernardo do Campo,SP,Sudeste
213,1,SKU-024,2025-09-08,12,4,12.87,7423.88,Contagem,MG,Sudeste
214,473,SKU-089,2025-01-25,12,2,28.01,3430.68,Gravata,PE,Nordeste
215,16,SKU-117,2025-07-01,6,2,32.0,2128.48,Quixada,CE,Nordeste
216,113,SKU-250,2026-01-07,14,3,19.52,6958.17,Olinda,PE,Nordeste
217,504,SKU-009,2025-11-30,7,2,23.56,3291.34,Maues,AM,Norte
218,1220,SKU-142,2025-09-04,12,1,16.77,916.37,Itacoatiara,AM,Norte
219,304,SKU-031,2026-04-26,8,2,6.9,1977.86,Canoas,RS,Sul
220,939,SKU-187,2025-08-11,3,2,33.7,2605.54,Sorocaba,SP,Sudeste
221,53,SKU-148,2025-08-08,13,4,31.45,5646.64,Campos dos Goytacazes,RJ,Sudeste
222,173,SKU-219,2025-03-19,4,3,12.09,3571.05,Itacoatiara,AM,Norte
223,1212,SKU-084,2026-01-08,6,2,28.68,2937.0,Manacapuru,AM,Norte
224,478,SKU-079,2025-10-01,4,4,8.66,9266.52,Quixada,CE,Nordeste
225,47,SKU-101,2025-10-24,5,2,33.26,628.36,Gama,DF,Centro-Oeste
226,1130,SKU-148,2026-05-26,14,1,10.41,1411.66,Itapipoca,CE,Nordeste
227,1086,SKU-150,2026-03-26,2,1,10.6,1140.89,Ipatinga,MG,Sudeste
228,47,SKU-085,2025-09-10,4,4,27.79,4175.84,Caucaia,CE,Nordeste
229,375,SKU-230,2025-12-01,4,2,22.39,3625.46,Autazes,AM,Norte
230,32,SKU-008,2025-04-11,9,2,28.8,4177.7,Recife,PE,Nordeste
231,62,SKU-010,2025-02-15,13,3,27.83,8416.44,Itapipoca,CE,Nordeste
232,1328,SKU-227,2026-04-22,11,4,15.48,5457.08,Gravatai,RS,Sul
233,411,SKU-048,2025-08-31,1,4,32.73,4887.76,Sao Jose dos Campos,SP,Sudeste
234,128,SKU-078,2025-08-30,6,4,24.36,7221.4,Recanto das Emas,DF,Centro-Oeste
235,24,SKU-018,2025-12-22,1,2,33.62,4549.46,Ceilandia,DF,Centro-Oeste
236,920,SKU-165,2025-06-21,4,3,24.92,4964.28,Duque de Caxias,RJ,Sudeste
237,357,SKU-168,2026-06-08,10,2,6.7,2991.28,Porto Alegre,RS,Sul
238,273,SKU-121,2025-03-26,10,2,25.6,530.78,Caucaia,CE,Nordeste
239,1406,SKU-038,2026-02-12,4,1,24.0,355.73,Uberlandia,MG,Sudeste
240,45,SKU-222,2026-04-17,2,4,19.0,3499.68,Belo Horizonte,MG,Sudeste
241,564,SKU-191,2025-04-02,3,1,8.38,326.91,Jaboatao dos Guararapes,PE,Nordeste
242,1256,SKU-011,2025-05-04,13,1,18.39,2137.97,Camacari,BA,Nordeste
243,301,SKU-064,2025-07-22,7,2,6.11,4375.38,Samambaia,DF,Centro-Oeste
244,231,SKU-054,2025-01-14,2,2,18.66,4741.24,Colombo,PR,Sul
245,41,SKU-201,2025-10-16,13,2,8.01,2800.04,Curitiba,PR,Sul
246,482,SKU-102,2025-05-24,3,3,30.8,5521.59,Gama,DF,Centro-Oeste
247,41,SKU-074,2026-01-20,12,2,5.51,3130.96,Samambaia,DF,Centro-Oeste
248,1083,SKU-248,2025-12-25,13,4,30.19,7498.36,Rio de Janeiro,RJ,Sudeste
249,1303,SKU-184,2025-12-20,14,2,28.38,5105.74,Guara,DF,Centro-Oeste
250,2,SKU-025,2025-08-23,7,4,8.56,3917.24,Ponta Grossa,PR,Sul
251,1316,SKU-141,2025-12-01,14,3,16.62,7261.11,Contagem,MG,Sudeste
252,3,SKU-242,2025-03-18,7,2,5.77,4746.66,Fortaleza,CE,Nordeste
253,29,SKU-158,2025-06-15,1,4,11.92,9130.88,Sobral,CE,Nordeste
254,50,SKU-159,2025-03-04,7,4,26.57,9378.16,Campos dos Goytacazes,RJ,Sudeste
255,1122,SKU-006,2026-02-27,11,2,8.9,2089.4,Colombo,PR,Sul
256,1343,SKU-028,2025-12-17,4,3,12.83,3475.5,Belo Horizonte,MG,Sudeste
257,750,SKU-222,2025-10-20,10,1,12.49,874.92,Rio de Janeiro,RJ,Sudeste
258,211,SKU-232,2026-02-20,7,4,21.93,6781.76,Crato,CE,Nordeste
259,1202,SKU-079,2025-03-08,5,3,18.28,6949.89,Juazeiro,BA,Nordeste
260,285,SKU-045,2025-09-10,14,3,19.39,4769.31,Petropolis,RJ,Sudeste
261,993,SKU-119,2026-03-21,13,1,8.32,137.79,Manaus,AM,Norte
262,27,SKU-201,2025-05-06,4,1,11.22,1400.02,Gravata,PE,Nordeste
263,21,SKU-103,2025-10-10,1,1,19.67,348.94,Gravata,PE,Nordeste
264,459,SKU-133,2025-04-10,1,3,18.43,7767.63,Uberaba,MG,Sudeste
265,1138,SKU-028,2025-12-17,1,1,18.9,1158.5,Bento Goncalves,RS,Sul
266,264,SKU-027,2025-09-10,2,1,18.86,2075.12,Gravatai,RS,Sul
267,1410,SKU-209,2025-10-22,5,3,34.1,5955.72,Paranagua,PR,Sul
268,69,SKU-103,2025-06-29,10,1,26.12,348.94,Sao Paulo,SP,Sudeste
269,298,SKU-090,2025-12-30,5,4,17.78,11782.56,Serra Talhada,PE,Nordeste
270,384,SKU-053,2025-05-04,7,1,15.01,2247.53,Erechim,RS,Sul
271,45,SKU-208,2026-03-27,14,3,30.15,7690.83,Garanhuns,PE,Nordeste
272,41,SKU-091,2025-03-07,1,2,29.92,1920.06,Fortaleza,CE,Nordeste
273,9,SKU-069,2026-02-17,11,4,17.77,7739.84,Foz do Iguacu,PR,Sul
274,535,SKU-194,2025-03-11,11,1,6.52,2515.44,Guara,DF,Centro-Oeste
275,342,SKU-234,2025-09-16,4,1,5.59,91.45,Sao Jose dos Pinhais,PR,Sul
276,458,SKU-242,2025-03-11,11,3,22.23,7119.99,Itabuna,BA,Nordeste
277,1493,SKU-017,2025-11-21,9,2,6.27,917.48,Recanto das Emas,DF,Centro-Oeste
278,5,SKU-151,2025-11-01,9,4,32.88,10480.72,Serra Talhada,PE,Nordeste
279,1470,SKU-164,2025-08-18,11,1,10.96,605.18,Guara,DF,Centro-Oeste
280,28,SKU-107,2026-01-27,3,3,8.06,4912.68,Jaboatao dos Guararapes,PE,Nordeste
281,80,SKU-074,2025-02-20,4,4,19.4,6261.92,Ponta Grossa,PR,Sul
282,1044,SKU-196,2025-11-27,10,4,10.49,9339.76,Presidente Figueiredo,AM,Norte
283,137,SKU-146,2025-04-27,3,4,29.21,9549.88,Duque de Caxias,RJ,Sudeste
284,1177,SKU-218,2025-05-23,8,1,11.43,468.98,Osasco,SP,Sudeste
285,1017,SKU-139,2025-06-25,11,1,7.67,1828.39,Santos,SP,Sudeste
286,677,SKU-008,2025-09-23,4,1,30.49,2088.85,Parintins,AM,Norte
287,218,SKU-180,2026-06-01,8,4,32.02,3849.8,Niteroi,RJ,Sudeste
288,1392,SKU-188,2026-05-31,14,3,32.83,108.6,Manaus,AM,Norte
289,1018,SKU-019,2026-02-13,13,3,14.12,1791.87,Juiz de Fora,MG,Sudeste
290,28,SKU-243,2025-12-31,6,2,22.13,5672.94,Caninde,CE,Nordeste
291,302,SKU-003,2025-06-26,1,1,29.36,2885.32,Colombo,PR,Sul
292,277,SKU-082,2026-04-30,7,1,29.86,763.67,Contagem,MG,Sudeste
293,490,SKU-077,2026-02-17,9,1,27.94,2482.43,Petropolis,RJ,Sudeste
294,1197,SKU-173,2025-10-04,15,2,23.0,2931.38,Gravata,PE,Nordeste
295,396,SKU-119,2026-02-06,1,4,24.94,551.16,Ribeirao Preto,SP,Sudeste
296,534,SKU-059,2025-05-01,7,3,32.14,6033.69,Teresopolis,RJ,Sudeste
297,25,SKU-110,2025-02-15,8,4,31.99,1836.84,Pelotas,RS,Sul
298,133,SKU-229,2025-08-18,13,3,26.69,4560.6,Feira de Santana,BA,Nordeste
299,1304,SKU-149,2026-02-12,15,2,13.79,5760.14,Piracicaba,SP,Sudeste
300,281,SKU-164,2025-10-17,15,4,16.51,2420.72,Santa Maria,RS,Sul
