id_produto,nome_produto,categoria,preco_venda
SKU-110,Dell Monitor 921,Monitores,6170.78
SKU-111,Headset 829,Perifericos,4365.07
SKU-112,Nas 695,Armazenamento,4184.9
SKU-113,Asus Zenfone 753,Smartphones,2013.87
SKU-114,Samsung Book 287,Notebooks,7103.82
SKU-115,Cabo Usb 501,Acessorios,3900.53
SKU-116,Fone Com Fio 650,Audio,2764.13
SKU-117,Multilaser 227,Tablets,7733.78
SKU-118,Lg Monitor 168,Monitores,1551.98
SKU-119,Leitor de Cartao 565,Perifericos,7481.27
SKU-120,Hd Interno 623,Armazenamento,4561.26
SKU-121,Oneplus 743,Smartphones,7854.49
SKU-122,Asus Vivobook 496,Notebooks,2539.48
SKU-123,Suporte 878,Acessorios,6420.33
SKU-124,Caixa de Som 384,Audio,904.32
SKU-125,Samsung Tab 860,Tablets,5509.46
SKU-126,Lg Monitor 110,Monitores,935.88
SKU-127,Mousepad 391,Perifericos,3466.93
SKU-128,Hd Interno 665,Armazenamento,2860.73
SKU-129,Lg 880,Smartphones,1797.98
SKU-130,Asus Vivobook 308,Notebooks,4356.6
SKU-131,Película 684,Acessorios,5936.63
SKU-132,Fone Com Fio 227,Audio,810.69
SKU-133,Amazon Fire 570,Tablets,4896.38
SKU-134,Acer Monitor 386,Monitores,903.73
SKU-135,Gamepad 693,Perifericos,6894.12
SKU-136,Cartao Sd 337,Armazenamento,847.91
SKU-137,Nokia 553,Smartphones,1245.56
SKU-138,Asus Vivobook 123,Notebooks,4353.05
SKU-139,Power Bank 547,Acessorios,6327.22
SKU-140,Fone Bluetooth 611,Audio,4085.1
SKU-141,Amazon Fire 481,Tablets,1198.9
SKU-142,Asus Monitor 272,Monitores,6315.16
SKU-143,Headset 514,Perifericos,2229.43
SKU-144,Cartao Sd 488,Armazenamento,4823.46
SKU-145,Xiaomi Redmi 760,Smartphones,5595.77
SKU-146,Dell Inspiron 498,Notebooks,4594.67
SKU-147,Power Bank 546,Acessorios,5807.22
SKU-148,Amplificador 361,Audio,2818.43
SKU-149,Multilaser 590,Tablets,1306.88
SKU-150,Acer Monitor 966,Monitores,338.53
SKU-151,Hub Usb 192,Perifericos,5671.48
SKU-152,Hd Externo 356,Armazenamento,680.08
SKU-153,Motorola Moto 400,Smartphones,1175.99
SKU-154,Acer Aspire 334,Notebooks,3305.24
SKU-155,Cabo Usb 992,Acessorios,783.55
SKU-156,Soundbar 395,Audio,4406.11
SKU-157,Lenovo Tab 341,Tablets,186.6
SKU-158,Samsung Monitor 168,Monitores,6194.05
SKU-159,Webcam 646,Perifericos,1036.89
SKU-160,Ssd Nvme 840,Armazenamento,1472.45
SKU-161,Xiaomi Redmi 905,Smartphones,119.53
SKU-162,Macbook 625,Notebooks,6515.78
SKU-163,Capa Protetora 503,Acessorios,1122.85
SKU-164,Soundbar 347,Audio,6900.42
SKU-165,Multilaser 573,Tablets,2004.02
SKU-166,Acer Monitor 265,Monitores,5139.08
SKU-167,Gamepad 239,Perifericos,54.56
SKU-168,Nas 793,Armazenamento,6046.36
SKU-169,Oneplus 637,Smartphones,3759.63
SKU-170,Samsung Book 905,Notebooks,4863.86
SKU-171,Adaptador 869,Acessorios,2048.87
SKU-172,Fone Com Fio 229,Audio,6448.47
SKU-173,Philco 962,Tablets,2422.62
SKU-174,Asus Monitor 484,Monitores,2431.17
SKU-175,Hub Usb 868,Perifericos,177.53
SKU-176,Pen Drive 560,Armazenamento,6928.32
SKU-177,Motorola Moto 764,Smartphones,6360.4
SKU-178,Dell Inspiron 332,Notebooks,7234.13
SKU-179,Power Bank 829,Acessorios,3748.38
SKU-180,Soundbar 525,Audio,7678.97
SKU-181,Samsung Tab 402,Tablets,3023.58
SKU-182,Asus Monitor 769,Monitores,6983.3
SKU-183,Headset 940,Perifericos,4124.86
SKU-184,Nas 169,Armazenamento,2852.24
SKU-185,Motorola Moto 111,Smartphones,7937.19
SKU-186,Macbook 161,Notebooks,246.23
SKU-187,Suporte 124,Acessorios,3614.45
SKU-188,Fone Com Fio 455,Audio,4993.09
SKU-189,Samsung Tab 548,Tablets,6080.02
SKU-190,Lg Monitor 782,Monitores,6245.5
SKU-191,Mouse 257,Perifericos,7466.93
SKU-192,Nas 849,Armazenamento,5794.22
SKU-193,Xiaomi Redmi 195,Smartphones,4954.15
SKU-194,Dell Inspiron 145,Notebooks,2458.14
SKU-195,Adaptador 682,Acessorios,1589.63
SKU-196,Soundbar 537,Audio,4399.09
SKU-197,Amazon Fire 100,Tablets,7928.66
SKU-198,Aoc Monitor 844,Monitores,3887.18
SKU-199,Webcam 788,Perifericos,3973.18
SKU-200,Ssd Nvme 731,Armazenamento,5836.98
SKU-201,Asus Zenfone 690,Smartphones,4490.62
SKU-202,Samsung Book 746,Notebooks,5336.28
SKU-203,Fone de Ouvido 925,Acessorios,4771.11
SKU-204,Fone Bluetooth 544,Audio,3893.0
SKU-205,Multilaser 610,Tablets,7783.45
SKU-206,Aoc Monitor 920,Monitores,6911.85
SKU-207,Hub Usb 964,Perifericos,6278.64
SKU-208,Nas 256,Armazenamento,7412.11
SKU-209,Lg 522,Smartphones,5953.06
SKU-210,Macbook 183,Notebooks,1977.83
SKU-211,Película 893,Acessorios,2545.96
SKU-212,Amplificador 934,Audio,3485.73
SKU-213,Ipad 441,Tablets,7503.87
SKU-214,Lenovo Monitor 603,Monitores,7426.29
SKU-215,Gamepad 540,Perifericos,6803.13
SKU-216,Pen Drive 444,Armazenamento,1315.58
SKU-217,Samsung Galaxy 203,Smartphones,702.65
SKU-218,Acer Aspire 653,Notebooks,3456.91
SKU-219,Carregador 152,Acessorios,66.59
SKU-220,Microfone 963,Audio,2965.8
SKU-221,Philco 782,Tablets,4597.38
SKU-222,Aoc Monitor 438,Monitores,844.77
SKU-223,Teclado 729,Perifericos,51.69
SKU-224,Pen Drive 500,Armazenamento,6602.32
SKU-225,Asus Zenfone 730,Smartphones,6702.96
SKU-226,Macbook 241,Notebooks,566.29
SKU-227,Carregador 758,Acessorios,6219.8
SKU-228,Headset Gamer 805,Audio,2305.39
SKU-229,Lenovo Tab 811,Tablets,3807.65
SKU-230,Aoc Monitor 400,Monitores,5245.24
SKU-231,Hub Usb 913,Perifericos,7877.56
SKU-232,Cartao Sd 346,Armazenamento,3717.23
SKU-233,Samsung Galaxy 160,Smartphones,4722.08
SKU-234,Positivo 229,Notebooks,1237.15
SKU-235,Suporte 804,Acessorios,2593.61
SKU-236,Amplificador 519,Audio,1024.82
SKU-237,Multilaser 826,Tablets,1717.69
SKU-238,Philips Monitor 260,Monitores,3156.81
SKU-239,Teclado 961,Perifericos,6831.89
SKU-240,Nas 574,Armazenamento,5283.72
SKU-241,Lg 560,Smartphones,1106.58
SKU-242,Asus Vivobook 774,Notebooks,2552.57
SKU-243,Carregador 107,Acessorios,6959.93
SKU-244,Amplificador 195,Audio,3920.81
SKU-245,Ipad 243,Tablets,1958.19
SKU-246,Aoc Monitor 307,Monitores,5780.24
SKU-247,Teclado 746,Perifericos,2917.78
SKU-248,Ssd Nvme 445,Armazenamento,71.76
SKU-249,Xiaomi Redmi 316,Smartphones,1225.06
SKU-250,Macbook 643,Notebooks,3155.99
